ItemName,IsTeleportable,UsesDurability,MaxDurability,DurabilityPerLevel,MaxStack,DisplayName,MaxQuality,ItemType,Weight,ScaleWeightByQuality,CanHaveCrafterTag
ArmorGoldMediumHelmetUncooked,True,False,100,50,10,Cast: Hood of the Vanguard,1,1,1,0,True
ArmorGoldMediumLegsUncooked,True,False,100,50,10,Cast: Trousers of the Vanguard,1,1,1,0,True
ArmorHarvester1,True,True,1000,200,1,Harvest Tunic,4,7,10,0,False
ArmorHarvester2,True,True,1000,200,1,Harvest Dress,4,7,10,0,False
ArmorIronChest,True,True,1000,200,1,Iron Scale Mail,4,7,15,0,True
ArmorIronLegs,True,True,1000,200,1,Iron Greaves,4,11,15,0,True
ArmorLeatherChest,True,True,400,100,1,Leather Tunic,4,7,5,0,True
ArmorLeatherLegs,True,True,400,100,1,Leather Trousers,4,11,5,0,True
ArmorLoxChest,True,True,500,200,1,Lox Fur Jacket,4,7,5,0,True
ArmorLoxLegs,True,True,500,200,1,Lox Fur Trousers,4,11,5,0,True
ArmorMageChest,True,True,1000,200,1,Eitr-weave Robe,4,7,5,0,True
ArmorMageChest_Ashlands,True,True,1000,200,1,Robes of Embla,4,7,5,0,True
ArmorMageLegs,True,True,1000,200,1,Eitr-weave Trousers,4,11,5,0,True
ArmorMageLegs_Ashlands,True,True,1000,200,1,Trousers of Embla,4,11,5,0,True
ArmorPaddedCuirass,True,True,1000,200,1,Padded Cuirass,4,7,10,0,True
ArmorPaddedGreaves,True,True,1000,200,1,Padded Greaves,4,11,10,0,True
ArmorRagsChest,True,True,200,50,1,Rag Tunic,2,7,2,0,True
ArmorRagsLegs,True,True,200,50,1,Rag Trousers,2,11,2,0,True
ArmorRootChest,True,True,800,100,1,Root Harnesk,4,7,10,0,True
ArmorRootLegs,True,True,800,100,1,Root Leggings,4,11,10,0,True
ArmorTrollLeatherChest,True,True,500,200,1,Troll Leather Tunic,4,7,5,0,True
ArmorTrollLeatherLegs,True,True,500,200,1,Troll Leather Trousers,4,11,5,0,True
ArmorTunic1,True,True,1000,200,1,Plain Blue Tunic,4,7,10,0,False
ArmorTunic10,True,True,1000,200,1,Simple Undyed Tunic,4,7,10,0,False
ArmorTunic2,True,True,1000,200,1,Blue Tunic with Cape,4,7,10,0,False
ArmorTunic3,True,True,1000,200,1,Blue Tunic with Beads,4,7,10,0,False
ArmorTunic4,True,True,1000,200,1,Plain Red Tunic,4,7,10,0,False
ArmorTunic5,True,True,1000,200,1,Red Tunic with Cape,4,7,10,0,False
ArmorTunic6,True,True,1000,200,1,Red Tunic with Beads,4,7,10,0,False
ArmorTunic7,True,True,1000,200,1,Plain Yellow Tunic,4,7,10,0,False
ArmorTunic8,True,True,1000,200,1,Yellow Tunic with Cape,4,7,10,0,False
ArmorTunic9,True,True,1000,200,1,Yellow Tunic with Beads,4,7,10,0,False
ArmorWolfChest,True,True,1000,200,1,Wolf Hide Chestpiece,4,7,15,0,True
ArmorWolfLegs,True,True,1000,200,1,Wolf Hide Trousers,4,11,15,0,True
ArrowBloodGold,True,False,100,50,100,Bloodgold Arrow,1,9,0.1,0,True
ArrowBronze,True,False,100,50,100,Bronzehead Arrow,1,9,0.1,0,True
ArrowCarapace,True,False,100,50,100,Carapace Arrow,1,9,0.1,0,True
ArrowCharred,True,False,100,50,100,Charred Arrow,1,9,0.1,0,True
ArrowFire,True,False,100,50,100,Fire Arrow,1,9,0.1,0,True
ArrowFlint,True,False,100,50,100,Flinthead Arrow,1,9,0.1,0,True
ArrowFrost,True,False,100,50,100,Frost Arrow,1,9,0.1,0,True
ArrowIron,True,False,100,50,100,Ironhead Arrow,1,9,0.1,0,True
ArrowNeedle,True,False,100,50,100,Needle Arrow,1,9,0.1,0,True
ArrowObsidian,True,False,100,50,100,Obsidian Arrow,1,9,0.1,0,True
ArrowPoison,True,False,100,50,100,Poison Arrow,1,9,0.1,0,True
ArrowSilver,True,False,100,50,100,Silver Arrow,1,9,0.1,0,True
ArrowWood,True,False,100,50,100,Wood Arrow,1,9,0.1,0,True
AskBladder,True,False,100,50,50,Asksvin Bladder,1,1,0.5,0,False
AskHide,True,False,100,50,50,Asksvin Hide,1,1,1,0,False
AsksvinCarrionNeck,True,False,100,50,50,Asksvin Neck,1,1,2,0,False
AsksvinCarrionPelvic,True,False,100,50,50,Asksvin Pelvis,1,1,2,0,False
AsksvinCarrionRibcage,True,False,100,50,50,Asksvin Ribcage,1,1,5,0,False
AsksvinCarrionSkull,True,False,100,50,50,Asksvin Skull,1,1,2,0,False
AsksvinEgg,True,False,100,50,20,Asksvin Egg,4,16,1,0.2,False
AsksvinMeat,True,False,100,50,20,Asksvin Tail,1,1,1,0,False
AtgeirBlackmetal,True,True,175,50,1,Black Metal Atgeir,4,14,2.5,0,True
AtgeirBronze,True,True,125,50,1,Bronze Atgeir,4,14,2.5,0,True
AtgeirGold,True,True,400,50,1,Nord Atgeir,4,14,2.5,0,True
AtgeirGold_BloodLightning,True,True,400,50,1,Thunderblood Atgeir,4,14,2.5,0,True
AtgeirGold_FrostFire,True,True,400,50,1,Frostfire Atgeir,4,14,2.5,0,True
AtgeirGoldUncooked,True,False,125,50,1,Cast: Nord Atgeir,1,1,2.5,0,True
AtgeirHimminAfl,True,True,250,50,1,Himminafl,4,14,2.5,0,True
AtgeirIron,True,True,175,50,1,Iron Atgeir,4,14,2.5,0,True
AtgeirWood,True,True,175,50,1,Wooden Atgeir,4,14,2.5,0,False
AxeBerzerkr,True,True,300,50,1,Berserkir Axes,4,14,2,0,True
AxeBerzerkrBlood,True,True,300,50,1,Bleeding Berserkir Axes,4,14,2,0,True
AxeBerzerkrLightning,True,True,300,50,1,Thundering Berserkir Axes,4,14,2,0,True
AxeBerzerkrNature,True,True,300,50,1,Primal Berserkir Axes,4,14,2,0,True
AxeBlackMetal,True,True,175,50,1,Black Metal Axe,4,3,2,0,True
AxeBronze,True,True,125,50,1,Bronze Axe,4,3,2,0,True
AxeEarly,True,True,175,50,1,Early Axes,4,14,2,0,True
AxeFlint,True,True,100,30,1,Flint Axe,4,3,1.5,0,True
AxeGold,True,True,400,50,1,Nord Axe,4,3,2,0,True
AxeGold_BloodLightning,True,True,400,50,1,Thunderblood Axe,4,3,2,0,True
AxeGold_FrostFire,True,True,400,50,1,Frostfire Axe,4,3,2,0,True
AxeGoldUncooked,True,False,175,50,1,Cast: Nord Axe,1,1,2,0,True
AxeHead1,True,False,100,50,10,Curious Axe Head,1,1,2,0,False
AxeHead2,True,False,100,50,10,Mysterious Axe Head,1,1,2,0,False
AxeIron,True,True,175,50,1,Iron Axe,4,3,2,0,True
AxeJotunBane,True,True,250,50,1,Jotun Bane,4,3,2,0,True
AxeStone,True,True,100,30,1,Stone Axe,4,3,1.5,0,True
AxeWood,True,True,125,50,1,Wooden Axe,4,3,2,0,False
BakedPoteitr,True,False,100,50,10,Baked Poteitr,1,2,1,0,False
BakedPoteitrUncooked,True,False,100,50,10,Unbaked Poteitr,1,1,1,0,True
BarberKit,True,False,100,50,1,Barber Kit,1,16,2,0,False
BarkaBranch,True,False,100,50,50,Frozen Branch,1,1,0.5,0,False
Barley,True,False,100,50,100,Barley,1,1,0.2,0,False
BarleyFlour,True,False,100,50,50,Barley Flour,1,16,0.2,0,False
BarleyWine,True,False,100,50,10,Fire Resistance Barley Wine,1,2,1,0,False
BarleyWineBase,True,False,100,50,1,Barley Wine Base: Fire Resistance,1,1,1,0,True
BarrelRings,True,False,100,50,20,Barrel Hoops,1,16,2,0,False
Battleaxe,True,True,200,50,1,Battleaxe,4,14,2.5,0,True
BattleaxeBlackmetal,True,True,200,50,1,Black Metal Battleaxe,4,14,2.5,0,True
BattleaxeCrystal,True,True,200,50,1,Crystal Battleaxe,4,14,2.5,0,True
BattleaxeGold,True,True,400,50,1,Nord Greataxe,4,14,2.5,0,True
BattleaxeGold_BloodLightning,True,True,400,50,1,Thunderblood Greataxe,4,14,2.5,0,True
BattleaxeGold_FrostFire,True,True,400,50,1,Frostfire Greataxe,4,14,2.5,0,True
BattleaxeGoldUncooked,True,False,200,50,1,Cast: Nord Greataxe,1,1,2.5,0,True
BattleaxeSkullSplittur,True,True,200,50,1,Skull Splittur,4,14,2.5,0,True
BattleaxeWood,True,True,200,50,1,Wooden Battleaxe,4,14,2.5,0,False
Beard1,True,False,100,50,1,Majestic,1,10,1,0,False
Beard10,True,False,100,50,1,Top Braid,1,10,1,0,False
Beard11,True,False,100,50,1,Facewarmer,1,10,1,0,False
Beard12,True,False,100,50,1,Royal,1,10,1,0,False
Beard13,True,False,100,50,1,Triplets,1,10,1,0,False
Beard14,True,False,100,50,1,Split Braid,1,10,1,0,False
Beard15,True,False,100,50,1,Mini Braid,1,10,1,0,False
Beard16,True,False,100,50,1,Stonedweller,1,10,1,0,False
Beard17,True,False,100,50,1,Neat,1,10,1,0,False
Beard18,True,False,100,50,1,Jarl Braids,1,10,1,0,False
Beard19,True,False,100,50,1,Bushy,1,10,1,0,False
Beard2,True,False,100,50,1,Twin Braids,1,10,1,0,False
Beard20,True,False,100,50,1,Spiky,1,10,1,0,False
Beard21,True,False,100,50,1,Tidy,1,10,1,0,False
Beard22,True,False,100,50,1,Mustache,1,10,1,0,False
Beard23,True,False,100,50,1,Crumb Catcher,1,10,1,0,False
Beard24,True,False,100,50,1,Waxed,1,10,1,0,False
Beard25,True,False,100,50,1,Trimmed,1,10,1,0,False
Beard26,True,False,100,50,1,Handlebar,1,10,1,0,False
Beard3,True,False,100,50,1,Short,1,10,1,0,False
Beard4,True,False,100,50,1,Straight,1,10,1,0,False
Beard5,True,False,100,50,1,Single Braid,1,10,1,0,False
Beard6,True,False,100,50,1,Loose Braid,1,10,1,0,False
Beard7,True,False,100,50,1,Split Shave,1,10,1,0,False
Beard8,True,False,100,50,1,Thick,1,10,1,0,False
Beard9,True,False,100,50,1,Trobadour,1,10,1,0,False
BeardNone,True,False,100,50,1,No Beard,1,10,1,0,False
BeechSeeds,True,False,100,50,100,Beech Seeds,1,1,0.1,0,False
Bell,True,False,100,50,9,Bell,1,16,0.5,0,True
BellFragment,True,False,100,50,9,Bell Fragment,1,1,0.5,0,False
BeltStrength,True,False,100,50,1,Megingjord,1,18,2,0,False
Bilebag,True,False,100,50,50,Bilebag,1,1,0.5,0,False
BirchSeeds,True,False,100,50,100,Birch Seeds,1,1,0.1,0,False
BjornHide,True,False,100,50,50,Bear Hide,1,1,1,0,False
BjornMeat,True,False,100,50,20,Bear Meat,1,1,1,0,False
BjornPaw,True,False,100,50,50,Bear Paw,1,1,0.5,0,False
BlackCore,True,False,100,50,20,Black Core,1,1,1,0,False
BlackMarble,True,False,100,50,50,Black Marble,1,1,2,0,False
BlackMetal,False,False,100,50,30,Black Metal,1,1,12,0,False
BlackMetalScrap,False,False,100,50,30,Black Metal Scrap,1,1,10,0,False
BlackSoup,True,False,100,50,10,Black Soup,1,2,1,0,True
Blackwood,True,False,100,50,50,Ashwood,1,1,2,0,False
BlobVial,True,False,100,50,10,Corked Vial,1,1,1,0,False
Bloodbag,True,False,100,50,50,Bloodbag,1,1,0.5,0,False
BloodGoldKey,True,False,100,50,1,Intricate Key,1,16,0.1,0,False
BloodPudding,True,False,100,50,10,Blood Pudding,1,2,1,0,True
Blueberries,True,False,100,50,50,Blueberries,1,2,0.1,0,False
BoarJerky,True,False,100,50,20,Boar Jerky,1,2,0.5,0,True
BoltBlackmetal,True,False,100,50,100,Black Metal Bolt,1,9,0.1,0,True
BoltBloodGold,True,False,100,50,100,Bloodgold Bolt,1,9,0.1,0,True
BoltBone,True,False,100,50,100,Bone Bolt,1,9,0.1,0,True
BoltCarapace,True,False,100,50,100,Carapace Bolt,1,9,0.1,0,True
BoltCharred,True,False,100,50,100,Charred Bolt,1,9,0.1,0,True
BoltIron,True,False,100,50,100,Iron Bolt,1,9,0.1,0,True
BombBile,True,False,100,50,50,Bile Bomb,1,3,0.3,0,True
BombBlob_Frost,True,False,100,50,50,Blob Bomb: Frost,1,3,0.3,0,True
BombBlob_Lava,True,False,100,50,50,Blob Bomb: Lava,1,3,0.3,0,True
BombBlob_Morkhalla,True,False,100,50,50,Blob Bomb: Pulp,1,3,0.3,0,True
BombBlob_Poison,True,False,100,50,50,Blob Bomb: Poison,1,3,0.3,0,True
BombBlob_PoisonElite,True,False,100,50,50,Blob Bomb: Elite Poison,1,3,0.3,0,True
BombBlob_Tar,True,False,100,50,50,Blob Bomb: Tar,1,3,0.3,0,True
BombDynamite,True,False,100,50,50,Ember Charge,1,3,0.3,0,True
BombLava,True,False,100,50,50,Basalt Bomb,1,3,0.3,0,True
BombOoze,True,False,100,50,50,Ooze Bomb,1,3,0.3,0,True
BombSiege,True,False,100,50,50,Explosive Payload,1,1,0.3,0,True
BombSmoke,True,False,100,50,50,Smoke Bomb,1,3,0.3,0,True
BoneFragments,True,False,100,50,50,Bone Fragments,1,1,0.5,0,False
BoneMawSerpentMeat,True,False,100,50,50,Bonemaw Meat,1,1,10,0,False
BonemawSerpentScale,True,False,100,50,50,Bonemaw Scale,1,1,2,0,False
BonemawSerpentTooth,True,False,100,50,50,Bonemaw Tooth,1,1,2,0,False
Bow,True,True,50,50,1,Crude Bow,4,4,1.5,0,True
BowAshlands,True,True,300,50,1,Ashlands Bow,4,4,1.5,0,True
BowAshlandsBlood,True,True,300,50,1,Blood Fang,4,4,1.5,0,True
BowAshlandsRoot,True,True,300,50,1,Root Fang,4,4,1.5,0,True
BowAshlandsStorm,True,True,300,50,1,Storm Fang,4,4,1.5,0,True
BowDraugrFang,True,True,100,50,1,Draugr Fang,4,4,1.5,0,True
BowFineWood,True,True,100,50,1,Finewood Bow,4,4,1.5,0,True
BowGold,True,True,400,50,1,Nord Bow,4,4,1.5,0,True
BowGold_BloodLightning,True,True,400,50,1,Thunderblood Bow,4,4,1.5,0,True
BowGold_FrostFire,True,True,400,50,1,Frostfire Bow,4,4,1.5,0,True
BowGoldUncooked,True,False,100,50,1,Cast: Nord Bow,1,1,1.5,0,True
BowHuntsman,True,True,100,50,1,Huntsman Bow,4,4,1.5,0,True
BowSpineSnap,True,True,250,50,1,Spinesnap,4,4,1.5,0,True
Bread,True,False,100,50,20,Bread,1,2,0.5,0,False
BreadDough,True,False,100,50,20,Bread Dough,1,1,0.5,0,True
Bronze,False,False,100,50,30,Bronze,1,1,12,0,True
BronzeNails,True,False,100,50,100,Bronze Nails,1,1,0.5,0,True
BronzeScrap,False,False,100,50,30,Scrap Bronze,1,1,10,0,False
BugMeat,True,False,100,50,20,Seeker Meat,1,1,1,0,False
CandleWick,True,False,100,50,50,Candle Wick,1,1,0.3,0,False
CapeAsh,True,True,1200,50,1,Ashen Cape,4,17,4,0,True
CapeAsksvin,True,True,1500,50,1,Asksvin Cloak,4,17,4,0,True
CapeDeepNorth,True,True,1200,50,1,Moose Hide Cape,4,17,4,0,True
CapeDeepNorthMage,True,True,1200,50,1,Cape of the Caller,4,17,4,0,True
CapeDeerHide,True,True,400,50,1,Deer Hide Cape,4,17,4,0,True
CapeFeather,True,True,1200,50,1,Feather Cape,4,17,4,0,True
CapeLinen,True,True,1500,50,1,Linen Cape,4,17,4,0,True
CapeLox,True,True,1200,50,1,Lox Cape,4,17,4,0,True
CapeOdin,True,True,1500,50,1,Cape of Oden,4,17,4,0,True
CapeTrollHide,True,True,500,50,1,Troll Hide Cape,4,17,4,0,True
CapeWolf,True,True,1000,50,1,Wolf Fur Cape,4,17,4,0,True
Carapace,True,False,100,50,50,Carapace,1,1,2,0,False
Carrot,True,False,100,50,50,Carrot,1,2,0.3,0,False
CarrotSeeds,True,False,100,50,100,Carrot Seeds,1,1,0.1,0,False
CarrotSoup,True,False,100,50,10,Carrot Soup,1,2,1,0,True
Catapult_ammo,True,False,100,50,50,Grausten Payload,1,1,0.3,0,True
Catapult_Ammo_BloodGold,True,False,100,50,50,Bloodgold Payload,1,1,0.3,0,True
CelestialFeather,True,False,100,50,50,Celestial Feather,1,1,0.5,0,False
CeramicPlate,True,False,100,50,30,Ceramic Plate,1,1,2,0,True
Chain,True,False,100,50,50,Chain,1,1,2,0,False
CharcoalResin,True,False,100,50,50,Charcoal Resin,1,1,0.3,0,False
CharredBone,True,False,100,50,50,Charred Bone,1,1,0.5,0,False
CharredCogwheel,False,False,100,50,10,Charred Cogwheel,1,1,5,0,False
Charredskull,True,False,100,50,50,Charred Skull,1,1,2,0,False
chest_hildir1,False,False,100,50,1,Hildir's Brass Chest,1,16,200,0,False
chest_hildir2,False,False,100,50,1,Hildir's Silver Chest,1,16,200,0,False
chest_hildir3,False,False,100,50,1,Hildir's Bronze Chest,1,16,200,0,False
ChickenEgg,True,False,100,50,20,Egg,1,16,1,0,False
ChickenMeat,True,False,100,50,20,Chicken Meat,1,1,1,0,False
Chitin,True,False,100,50,50,Chitin,1,1,2,0,False
Cloudberry,True,False,100,50,50,Cloudberries,1,2,0.1,0,False
Club,True,True,100,50,1,Club,4,3,2,0,True
Coal,True,False,100,50,50,Coal,1,1,2,0,False
Coins,True,False,100,50,999,Coins,1,1,0.1,0,False
CookedAsksvinMeat,True,False,100,50,20,Cooked Asksvin Tail,1,2,1,0,False
CookedBjornMeat,True,False,100,50,20,Cooked Bear Meat,1,2,1,0,False
CookedBoneMawSerpentMeat,True,False,100,50,50,Cooked Bonemaw Meat,1,2,10,0,False
CookedBugMeat,True,False,100,50,20,Cooked Seeker Meat,1,2,1,0,False
CookedChickenMeat,True,False,100,50,20,Cooked Chicken Meat,1,2,1,0,False
CookedDeerMeat,True,False,100,50,20,Cooked Deer Meat,1,2,1,0,False
CookedEgg,True,False,100,50,20,Cooked Egg,1,2,1,0,True
CookedHareMeat,True,False,100,50,20,Cooked Hare Meat,1,2,1,0,False
CookedLoxMeat,True,False,100,50,20,Cooked Lox Meat,1,2,2,0,False
CookedMeat,True,False,100,50,20,Cooked Boar Meat,1,2,1,0,False
CookedMooseMeat,True,False,100,50,20,Cooked Moose Meat,1,2,1,0,False
CookedSealBlubber,True,False,100,50,20,Cooked Seal Blubber,1,2,1,0,False
CookedVoltureMeat,True,False,100,50,20,Cooked Volture Meat,1,2,1,0,False
CookedWolfMeat,True,False,100,50,20,Cooked Wolf Meat,1,2,1,0,False
Copper,False,False,100,50,30,Copper,1,1,12,0,False
CopperOre,False,False,100,50,30,Copper Ore,1,1,10,0,False
CopperScrap,False,False,100,50,30,Copper Scrap,1,1,10,0,False
CrossbowArbalest,True,True,150,50,1,Arbalest,4,4,1.5,0,True
CrossbowGold,True,True,300,50,1,Nord Crossbow,4,4,1.5,0,True
CrossbowGold_BloodLightning,True,True,300,50,1,Thunderblood Crossbow,4,4,1.5,0,True
CrossbowGold_FrostFire,True,True,300,50,1,Frostfire Crossbow,4,4,1.5,0,True
CrossbowGoldUncooked,True,False,50,50,1,Cast: Nord Crossbow,1,1,1.5,0,True
CrossbowRipper,True,True,200,50,1,Ripper,4,4,1.5,0,True
CrossbowRipperBlood,True,True,200,50,1,Wound Ripper,4,4,1.5,0,True
CrossbowRipperLightning,True,True,200,50,1,Storm Ripper,4,4,1.5,0,True
CrossbowRipperNature,True,True,200,50,1,Root Ripper,4,4,1.5,0,True
CrownJewel,True,False,100,50,5,Crown Jewel,1,1,2,0,False
CryptKey,True,False,100,50,1,Swamp Key,1,16,0.1,0,False
Crystal,True,False,100,50,50,Crystal,1,1,1,0,False
Cultivator,True,True,200,200,1,Cultivator,3,19,2,0,True
CuredSquirrelHamstring,True,False,100,50,50,Cured Squirrel Hamstring,1,1,0.5,0,False
Dandelion,True,False,100,50,50,Dandelion,1,1,0.1,0,False
DeerHide,True,False,100,50,50,Deer Hide,1,1,1,0,False
DeerMeat,True,False,100,50,20,Deer Meat,1,1,1,0,False
DeerStew,True,False,100,50,10,Deer Stew,1,2,1,0,True
Demister,True,False,100,50,1,Wisplight,1,18,0.1,0,True
DragonEgg,False,False,100,50,1,Dragon Egg,1,16,200,0,False
DragonTear,True,False,100,50,50,Dragon Tear,1,16,1,0,False
DvergerArbalest,True,True,50,50,1,Arbalest,4,18,1.5,0,False
DvergerArbalest_shoot,True,True,50,50,1,Arbalest,4,3,1.5,0,False
DvergerArbalest_shootAshlands,True,True,50,50,1,Arbalest,4,3,1.5,0,False
DvergerArbalest_shootDeepNorth,True,True,50,50,1,Arbalest,4,3,1.5,0,False
DvergrKey,True,False,100,50,1,Sealbreaker,1,16,0.5,0,True
DvergrKeyFragment,True,False,100,50,9,Sealbreaker Fragment,1,1,0.5,0,False
DvergrNeedle,False,False,100,50,10,Dvergr Extractor,1,1,5,0,False
DyrnwynBladeFragment,True,False,100,50,1,Dyrnwyn Blade Fragment,1,1,0.5,0,False
DyrnwynHiltFragment,True,False,100,50,1,Dyrnwyn Hilt Fragment,1,1,0.5,0,False
DyrnwynTipFragment,True,False,100,50,1,Dyrnwyn Tip Fragment,1,1,0.5,0,False
Ectoplasm,True,False,100,50,50,Ectoplasm,1,1,2,0,False
Eitr,True,False,100,50,30,Refined Eitr,1,1,5,0,False
ElakingHairBundle,True,False,100,50,50,Elaking Hair Bundle,1,1,1,0,False
ElderBark,True,False,100,50,50,Ancient Bark,1,1,2,0,False
Entrails,True,False,100,50,50,Entrails,1,1,0.5,0,False
Eyescream,True,False,100,50,10,Eyescream,1,2,0.5,0,True
FaderDrop,True,False,100,50,30,Fader Relic,1,1,1,0,False
FaderEmber,True,False,100,50,50,Embers,1,1,0.5,0,False
FeastAshlands,True,False,100,50,1,Ashlands Gourmet Bowl,1,2,1,0,False
FeastAshlands_Material,True,False,100,50,5,Ashlands Gourmet Bowl,1,1,10,0,True
FeastBlackforest,True,False,100,50,1,Black Forest Buffet Platter,1,2,1,0,False
FeastBlackforest_Material,True,False,100,50,5,Black Forest Buffet Platter,1,1,10,0,True
FeastDeepNorth,True,False,100,50,1,Northern Morning Fare,1,2,1,0,False
FeastDeepNorth_Material,True,False,100,50,5,Northern Morning Fare,1,1,10,0,True
Feaster,True,True,100,100,1,Serving Tray,3,19,2,0,False
FeastMeadows,True,False,100,50,1,Whole Roasted Meadow Boar,1,2,1,0,False
FeastMeadows_Material,True,False,100,50,5,Whole Roasted Meadow Boar,1,1,10,0,True
FeastMistlands,True,False,100,50,1,Mushrooms Galore á la Mistlands,1,2,1,0,False
FeastMistlands_Material,True,False,100,50,5,Mushrooms Galore á la Mistlands,1,1,10,0,True
FeastMountains,True,False,100,50,1,Hearty Mountain Logger's Stew,1,2,1,0,False
FeastMountains_Material,True,False,100,50,5,Hearty Mountain Logger's Stew,1,1,10,0,True
FeastOceans,True,False,100,50,1,Sailor's Bounty,1,2,1,0,False
FeastOceans_Material,True,False,100,50,5,Sailor's Bounty,1,1,10,0,True
FeastPlains,True,False,100,50,1,Plains Pie Picnic,1,2,1,0,False
FeastPlains_Material,True,False,100,50,5,Plains Pie Picnic,1,1,10,0,True
FeastSwamps,True,False,100,50,1,Swamp Dweller's Delight,1,2,1,0,False
FeastSwamps_Material,True,False,100,50,5,Swamp Dweller's Delight,1,1,10,0,True
Feathers,True,False,100,50,50,Feathers,1,1,0.1,0,False
Fiddleheadfern,True,False,100,50,50,Fiddlehead,1,2,0.1,0,False
FierySvinstew,True,False,100,50,10,Fiery Svinstew,1,2,1,0,True
FineWood,True,False,100,50,50,Finewood,1,1,2,0,False
FirCone,True,False,100,50,100,Fir Cone,1,1,0.1,0,False
FirConeFrost,True,False,100,50,100,Timberwood Cone,1,1,0.1,0,False
FireworksRocket_Blue,True,False,100,50,10,Blue Fireworks,1,1,0.5,0,True
FireworksRocket_Cyan,True,False,100,50,10,Cyan Fireworks,1,1,0.5,0,True
